﻿Org,enddate,startdate,avdate,Remain_raw,Leave_raw,WNV or DK,Remain,Leave,Type
YouGov,2016-06-23,2016-06-23,2016-06-23,52,48,0,52,48,O
Populus,2016-06-22,2016-06-22,2016-06-22,55,45,0,55,45,O
YouGov,2016-06-22,2016-06-20,2016-06-21,51,49,0,51,49,O
Ipsos,2016-06-22,2016-06-20,2016-06-21,52,48,0,52,48,T
Opininum,2016-06-22,2016-06-20,2016-06-21,44,45,11,49,51,O
ComRes,2016-06-22,2016-06-17,2016-06-19,54,46,0,54,46,T
TNS,2016-06-22,2016-06-16,2016-06-19,41,43,16,49,51,O
Survation/IG,2016-06-20,2016-06-20,2016-06-20,45,44,11,51,49,T
YouGov/Times,2016-06-19,2016-06-19,2016-06-19,42,44,13,49,51,O
ORB/Telegraph,2016-06-19,2016-06-16,2016-06-17,49,47,4,51,49,T
Survation/Mail on Sunday,2016-06-18,2016-06-17,2016-06-17,45,42,13,52,48,T
YouGov/Times,2016-06-17,2016-06-16,2016-06-16,44,43,9,51,49,O
Opinium/Observer,2016-06-17,2016-06-14,2016-06-15,44,44,12,50,50,O
YouGov/ITV,2016-06-16,2016-06-15,2016-06-15,42,44,9,49,51,O
Survation/IG,2016-06-15,2016-06-15,2016-06-15,42,45,13,48,52,T
BMG (P),2016-06-15,2016-06-10,2016-06-12,53,47,0,53,47,T
BMG (O),2016-06-15,2016-06-10,2016-06-12,45,55,0,45,55,O
Ipsos MORI/Evening Standard,2016-06-14,2016-06-11,2016-06-12,43,49,3,47,53,T
YouGov/Times,2016-06-13,2016-06-12,2016-06-12,39,46,15,46,54,O
ICM/Guardian (P),2016-06-13,2016-06-10,2016-06-11,45,50,5,47,53,T
ICM/Guardian (O),2016-06-13,2016-06-10,2016-06-11,44,49,7,47,53,O
ComRes/Sun,2016-06-13,2016-06-09,2016-06-11,46,45,9,51,49,T
TNS,2016-06-13,2016-06-07,2016-06-10,40,47,13,46,54,O
ORB/Telegraph,2016-06-12,2016-06-09,2016-06-10,49,44,7,53,47,T
NatCen,2016-06-12,2016-05-16,2016-05-29,53,47,0,53,47,O
YouGov/Times,2016-06-10,2016-06-09,2016-06-09,42,43,11,49,51,O
Opinium/Observer,2016-06-10,2016-06-07,2016-06-08,44,42,13,51,49,O
ORB/Independent (O),2016-06-09,2016-06-08,2016-06-08,45,55,0,45,55,O
YouGov/Times,2016-06-06,2016-06-06,2016-06-06,43,42,15,51,49,O
ICM,2016-06-05,2016-06-03,2016-06-04,43,48,9,47,53,O
ORB/Telegraph,2016-06-05,2016-06-02,2016-06-03,52,40,7,57,43,T
YouGov/GMB,2016-06-03,2016-06-01,2016-06-02,41,45,15,48,52,O
Opinium/Observer,2016-06-03,2016-05-31,2016-06-01,43,41,16,51,49,O
YouGov/Times,2016-05-31,2016-05-30,2016-05-30,41,41,17,50,50,O
ICM/Guardian (P),2016-05-29,2016-05-27,2016-05-28,42,45,15,48,52,T
ICM/Guardian (O),2016-05-29,2016-05-27,2016-05-28,44,47,9,48,52,O
ORB/Telegraph,2016-05-29,2016-05-25,2016-05-27,51,46,3,53,47,T
BMG,2016-05-25,2016-05-20,2016-05-22,44,45,12,49,51,O
Survation/IG,2016-05-24,2016-05-24,2016-05-24,44,38,18,54,46,T
YouGov/TImes,2016-05-24,2016-05-23,2016-05-23,41,41,17,50,50,O
TNS,2016-05-23,2016-05-19,2016-05-21,41,43,16,49,51,O
ICM,2016-05-22,2016-05-20,2016-05-21,45,45,10,50,50,O
ORB/Telegraph,2016-05-22,2016-05-18,2016-05-20,55,42,3,57,43,T
Opinium/Observor,2016-05-19,2016-05-17,2016-05-18,44,40,14,52,48,O
YouGov/Times,2016-05-17,2016-05-16,2016-05-16,44,40,15,52,48,O
ComRes/Daily Mail,2016-05-17,2016-05-14,2016-05-15,52,41,7,56,44,T
Ipsos MORI/Evening Standard,2016-05-16,2016-05-14,2016-05-15,55,37,5,60,40,T
ICM/Guardian (P),2016-05-15,2016-05-13,2016-05-14,47,39,14,55,45,T
ICM/Guardian (O),2016-05-15,2016-05-13,2016-05-14,43,47,10,48,52,O
ORB,2016-05-15,2016-05-11,2016-05-13,55,40,5,57.5,42.5,T
YouGov,2016-05-12,2016-04-29,2016-05-05,36,39,25,48.5,51.5,T
YouGov,2016-05-12,2016-04-29,2016-05-05,38,40,22,49,51,O
TNS,2016-05-12,2016-05-10,2016-05-11,38,41,21,48.5,51.5,O
ICM,2016-05-08,2016-05-06,2016-05-07,44,46,11,49,51,O
YouGov/Good Morning Britain,2016-05-06,2016-05-04,2016-05-05,42,40,19,51,49,O
ICM,2016-05-03,2016-04-29,2016-05-01,44,45,11,49,51,O
ICM,2016-04-29,2016-04-27,2016-04-28,43,46,11,48,52,O
Opinium/Observer,2016-04-29,2016-04-26,2016-04-27,42,41,14,51,49,O
ORB/Independent,2016-04-29,2016-04-27,2016-04-28,49,51,0,49,51,O
TNS,2016-04-28,2016-04-26,2016-04-27,39,36,26,52,48,O
YouGov/Times,2016-04-26,2016-04-25,2016-04-25,41,42,17,49,51,O
Survation/IG Group,2016-04-26,2016-04-25,2016-04-25,45,38,17,54,46,T
BMG,2016-04-26,2016-04-22,2016-04-24,43,45,13,49,51,O
ICM,2016-04-24,2016-04-22,2016-04-23,44,46,10,49,51,O
ORB/Telegraph,2016-04-24,2016-04-20,2016-04-22,51,43,6,54,46,T
ComRes/Daily Mail,2016-04-19,2016-04-16,2016-04-17,51,40,9,56,44,T
Ipsos MORI/Evening Standard,2016-04-18,2016-04-16,2016-04-17,49,39,8,56,44,T
ICM/Guardian (O),2016-04-17,2016-04-15,2016-04-16,43,44,13,49,51,O
ICM/Guardian (P),2016-04-17,2016-04-15,2016-04-16,48,41,11,54,46,T
ORB/Telegraph,2016-04-17,2016-04-13,2016-04-15,53,41,6,56,44,T
YouGov,2016-05-12,2016-04-29,2016-05-05,36,39,25,48.5,51.5,T
YouGov,2016-05-12,2016-04-29,2016-05-05,38,40,22,49,51,O
TNS,2016-05-12,2016-05-10,2016-05-11,38,41,21,48.5,51.5,O
TNS,2016-04-14,2016-04-12,2016-04-13,39,34,28,53,47,O
YouGov/Good Morning Britain,2016-04-14,2016-04-12,2016-04-13,40,39,21,51,49,O
YouGov/Times,2016-04-12,2016-04-11,2016-04-11,39,39,22,50,50,O
TNS,2016-04-11,2016-04-07,2016-04-09,35,35,30,50,50,O
ComRes/Sun,2016-04-10,2016-04-08,2016-04-09,45,38,17,54,46,T
ICM,2016-04-10,2016-04-08,2016-04-09,42,45,12,48,52,O
YouGov,2016-04-07,2016-04-06,2016-04-06,40,38,21,51,49,O
YouGov,2016-04-04,2016-03-29,2016-04-01,39,38,23,51,49,O
ICM,2016-04-03,2016-04-01,2016-04-02,44,43,13,51,49,O
ORB/Telegraph,2016-04-03,2016-03-29,2016-03-31,51,44,5,54,46,T
Opinium/Observer,2016-04-01,2016-03-29,2016-03-30,39,43,18,48,52,O
TNS,2016-03-29,2016-03-24,2016-03-26,35,35,30,50,50,O
BMG,2016-03-29,2016-03-24,2016-03-26,41,45,14,48,52,O
ORB,2016-03-28,2016-03-24,2016-03-26,51,49,0,51,49,O
ICM,2016-03-24,2016-03-22,2016-03-23,45,43,12,51,49,O
Ipsos,2016-03-22,2016-03-19,2016-03-20,49,41,10,54,46,T
Yougov,2016-03-22,2016-03-17,2016-03-19,40,37,23,51.5,48.5,O
ComRes/ITV,2016-03-20,2016-03-18,2016-03-19,48,41,11,54,46,T
ICM,2016-03-20,2016-03-18,2016-03-19,41,43,17,49,51,O
Survation,2016-03-19,2016-03-17,2016-03-18,46,35,19,57,43,T
ORB,2016-03-14,2016-03-11,2016-03-12,47,49,4,49,51,T
ICM,2016-03-13,2016-03-11,2016-03-12,43,41,16,51,49,O
Populus/NCP,2016-03-10,2016-03-02,2016-03-06,48,45,7,51.5,48.5,O
Populus/NCP,2016-03-06,2016-03-04,2016-03-05,49,35,16,57,43,T
ICM,2016-03-06,2016-03-04,2016-03-05,40,41,19,49,51,O
YouGov,2016-03-03,2016-03-02,2016-03-02,40,37,18,52,48,O
YouGov,2016-03-02,2016-03-01,2016-03-01,40,35,19,53,47,O
YouGov,2016-03-01,2016-02-29,2016-02-29,39,37,19,51,49,O
ICM,2016-02-29,2016-02-26,2016-02-27,41,41,18,50,50,O
Populus/NCP,2016-02-28,2016-02-26,2016-02-27,39,45,16,47,53,O
Populus/NCP,2016-02-28,2016-02-28,2016-02-28,49,35,16,57,43,T
ORB,2016-02-25,2016-02-24,2016-02-24,48,52,0,48,52,O
YouGov/Times,2016-02-23,2016-02-21,2016-02-22,37,38,25,49,51,O
BMG,2016-02-23,2016-02-17,2016-02-20,44,41,15,52,48,O
ICM,2016-02-22,2016-02-19,2016-02-20,42,40,17,51,49,O
ComRes/Daily Mail,2016-02-22,2016-02-19,2016-02-20,51,39,10,57,43,T
Survation/Mail on Sunday,2016-02-20,2016-02-13,2016-02-16,48,33,19,59,41,T
Opinion,2016-02-19,2016-02-18,2016-02-18,40,41,19,49.5,50.5,O
Ipsos MORI/Standard,2016-02-16,2016-02-13,2016-02-14,54,36,10,60,40,T
TNS,2016-02-15,2016-02-11,2016-02-13,36,39,25,48,52,O
ICM,2016-02-14,2016-02-12,2016-02-13,43,39,18,52,48,O
ComRes/ITV,2016-02-14,2016-02-11,2016-02-12,49,41,10,54,46,T
ICM,2016-02-07,2016-02-05,2016-02-06,41,42,17,49,51,O
YouGov/Times,2016-02-04,2016-02-03,2016-02-03,36,45,19,44,56,O
ICM,2016-01-31,2016-01-29,2016-01-30,41,42,17,49.5,50.5,O
YouGov,2016-01-28,2016-01-27,2016-01-27,38,42,20,48,52,O
Ipsos MORI/Standard,2016-01-25,2016-01-23,2016-01-24,55,36,9,60,40,T
BMG,2016-01-25,2016-01-21,2016-01-23,44,42,14,51,49,O
ComRes/Daily Mail,2016-01-24,2016-01-22,2016-01-23,54,36,10,60,40,T
ICM,2016-01-24,2016-01-22,2016-01-23,41,41,18,50,50,O
ORB,2016-01-21,2016-01-20,2016-01-20,52,48,0,52,48,O
ICM,2016-01-17,2016-01-15,2016-01-16,42,40,17,51,49,O
Survation/Mail on Sunday,2016-01-16,2016-01-15,2016-01-15,38,42,20,48,52,O
Panelbase,2016-01-14,2016-01-08,2016-01-11,42,45,12,48,52,O
ICM,2016-01-10,2016-01-08,2016-01-09,44,38,18,54,46,O
Ipsos MORI/Standard,2015-12-14,2015-12-14,2015-12-14,58,32,10,64,36,
ComRes/OpenEurope,2015-12-13,2015-12-13,2015-12-13,56,35,8,62,38,
ICM,2015-12-13,2015-12-13,2015-12-13,42,41,17,50,50,
ComRes (O),2015-12-11,2015-12-11,2015-12-11,41,41,18,50,50,
ICM,2015-12-06,2015-12-06,2015-12-06,43,39,17,52,48,
Survation/ADDE,2015-12-03,2015-12-03,2015-12-03,40,42,18,49,51,
YouGov,2015-11-24,2015-11-24,2015-11-24,41,41,18,50,50,
ICM,2015-11-22,2015-11-22,2015-11-22,45,38,17,54,46,
ORB/Independent,2015-11-19,2015-11-19,2015-11-19,48,52,0,48,52,
BMG/Evening Standard,2015-11-17,2015-11-17,2015-11-17,43,43,15,50,50,
Survation/Leave.EU,2015-11-17,2015-11-17,2015-11-17,43,40,18,52,48,
ICM,2015-11-15,2015-11-15,2015-11-15,43,38,19,53,47,
Survation/Leave.EU,2015-11-11,2015-11-11,2015-11-11,39,43,19,47,53,
ICM,2015-11-08,2015-11-08,2015-11-08,46,38,16,55,45,
ICM,2015-11-01,2015-11-01,2015-11-01,44,38,18,54,46,
ICM,2015-10-25,2015-10-25,2015-10-25,45,38,17,54,46,
ORB/Independent,2015-10-25,2015-10-25,2015-10-25,53,47,0,53,47,
YouGov/Prospect,2015-10-20,2015-10-20,2015-10-20,42,40,17,51,49,
Ipsos MORI,2015-10-19,2015-10-19,2015-10-19,52,36,12,59,41,
ICM,2015-10-18,2015-10-18,2015-10-18,44,38,18,54,46,
YouGov/University of Kent,2015-10-12,2015-10-12,2015-10-12,51,49,0,51,49,
ICM,2015-10-11,2015-10-11,2015-10-11,45,36,18,56,44,
ICM/VoteLeave,2015-10-07,2015-10-07,2015-10-07,44,39,17,53,47,
ICM,2015-10-04,2015-10-04,2015-10-04,42,38,20,53,47,
ComRes/Daily Mail,2015-09-28,2015-09-28,2015-09-28,55,36,8,60,40,
ICM,2015-09-27,2015-09-27,2015-09-27,45,38,17,54,46,
YouGov,2015-09-17,2015-09-17,2015-09-17,38,40,22,49,51,
ICM,2015-09-13,2015-09-13,2015-09-13,43,40,17,52,48,
Survation/Mail on Sunday,2015-09-04,2015-09-04,2015-09-04,40,43,17,48,52,
YouGov,2015-08-19,2015-08-19,2015-08-19,44,37,20,54,46,
Ipsos MORI,2015-07-02,2015-07-02,2015-07-02,52,31,17,63,37,
ORB/Independent,2015-06-21,2015-06-21,2015-06-21,55,45,0,55,45,
Ipsos MORI/Evening Standard,2015-06-16,2015-06-16,2015-06-16,66,22,12,75,25,
YouGov,2015-06-11,2015-06-11,2015-06-11,43,36,21,54,46,
YouGov/Prospect,2015-06-02,2015-06-02,2015-06-02,44,34,21,56,44,
YouGov,2015-06-02,2015-06-02,2015-06-02,42,35,22,55,45,
ComRes/Daily Mail,2015-05-31,2015-05-31,2015-05-31,58,31,11,65,35,
ICM,2015-05-31,2015-05-31,2015-05-31,43,35,22,55,45,
YouGov/Sunday Times,2015-05-22,2015-05-22,2015-05-22,44,36,20,55,45,